gameId,target,speaker1,speaker2,group1,group2,sameGroup,similarity,window,metric
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN79ZDP3YNFFHHQA302PJDP,01KJN79Y7T0VZNKHTSJRZWTDZ5,C,B,0,0.4472396969795227,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN788SPAKVVBHX9T9FDQWAF,01KJN791EPN054R2NTQQ1BFXJ5,B,A,0,0.15993142127990723,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN788SPAKVVBHX9T9FDQWAF,01KJN796KT7FCNV2F9QNCQDSES,B,C,0,0.7375040054321289,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN788SPAKVVBHX9T9FDQWAF,01KJN78B0TFR8F59JDGD057XNS,B,A,0,0.15020149946212769,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN788SPAKVVBHX9T9FDQWAF,01KJN78M7563R5D9TQE5G142DA,B,C,0,0.5544449090957642,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN788SPAKVVBHX9T9FDQWAF,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,B,1,0.4540937542915344,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN791EPN054R2NTQQ1BFXJ5,01KJN796KT7FCNV2F9QNCQDSES,A,C,0,0.21408775448799133,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN791EPN054R2NTQQ1BFXJ5,01KJN78B0TFR8F59JDGD057XNS,A,A,1,0.9041862487792969,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN791EPN054R2NTQQ1BFXJ5,01KJN78M7563R5D9TQE5G142DA,A,C,0,0.19525179266929626,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN791EPN054R2NTQQ1BFXJ5,01KJN79Y7T0VZNKHTSJRZWTDZ5,A,B,0,0.21364451944828033,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN796KT7FCNV2F9QNCQDSES,01KJN78B0TFR8F59JDGD057XNS,C,A,0,0.21855510771274567,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN796KT7FCNV2F9QNCQDSES,01KJN78M7563R5D9TQE5G142DA,C,C,1,0.7376038432121277,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN796KT7FCNV2F9QNCQDSES,01KJN79Y7T0VZNKHTSJRZWTDZ5,C,B,0,0.5015003085136414,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN78B0TFR8F59JDGD057XNS,01KJN78M7563R5D9TQE5G142DA,A,C,0,0.2060062289237976,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN78B0TFR8F59JDGD057XNS,01KJN79Y7T0VZNKHTSJRZWTDZ5,A,B,0,0.22221530973911285,phase1_final,first_phrase
