gameId,playerId,originalGroup,target,blockNum,sourceGroup,nSourceTerms,nBorrowed,borrowingRate,condition
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page9-46,5,C,7,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,page3-35,1,A,1,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,page3-35,1,C,3,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,page3-35,1,B,1,1,1.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,page3-35,1,C,3,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,page9-46,4,A,1,1,1.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,page9-46,4,C,7,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,page9-46,4,B,3,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,page9-46,4,C,7,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709DP5DSDA,01KJN77XQHYQ5TVVY4HZM02E7R,C,page9-46,1,B,1,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN79ZRTRDMY6RH8ZCYCM9NV,A,page9-46,1,B,1,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN79ZRTRDMY6RH8ZCYCM9NV,A,page9-46,1,C,3,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN7AAWT4GWKRZ7B9775509P,B,page9-46,1,C,3,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN77XQHYQ5TVVY4HZM02E7R,C,page7-255,1,A,5,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN77XQHYQ5TVVY4HZM02E7R,C,page7-255,1,B,2,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN79ZRTRDMY6RH8ZCYCM9NV,A,page7-255,1,B,2,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN79ZRTRDMY6RH8ZCYCM9NV,A,page7-255,1,C,2,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN7AAWT4GWKRZ7B9775509P,B,page7-255,1,A,5,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN7AAWT4GWKRZ7B9775509P,B,page7-255,1,C,2,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN77XQHYQ5TVVY4HZM02E7R,C,page5-28,1,A,1,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN77XQHYQ5TVVY4HZM02E7R,C,page5-28,1,B,4,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN79ZRTRDMY6RH8ZCYCM9NV,A,page5-28,1,B,4,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN79ZRTRDMY6RH8ZCYCM9NV,A,page5-28,1,C,3,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN7AAWT4GWKRZ7B9775509P,B,page5-28,1,A,1,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN7AAWT4GWKRZ7B9775509P,B,page5-28,1,C,3,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN7931DXZ65NXTWK1GNEZMW,C,page9-46,2,B,1,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN7B32C1C5254NSG6ZK1GRK,A,page9-46,2,B,1,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN7B32C1C5254NSG6ZK1GRK,A,page9-46,2,C,3,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN7BYA5X3A2G30KZECRY2HY,B,page9-46,2,C,3,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN79PCAAMFX7P2QF70Y3HJM,A,page7-107,0,B,1,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN79PCAAMFX7P2QF70Y3HJM,A,page7-107,0,C,4,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN79ZQD1E4YD03FE5CGJY8K,C,page7-107,0,B,1,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN7B4V2673GK7HGVSG52R2P,B,page7-107,0,C,4,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN77XQHYQ5TVVY4HZM02E7R,C,page7-107,1,B,1,0,0.0,refer_separated
01KJN6MMPQTMDYRN709DP5DSDA,01KJN79ZRTRDMY6RH8ZCYCM9NV,A,page7-107,1,B,1,0,0.0,refer_separated
