gameId,target,blockNum,playerId,originalGroup,dominantTermSource,totalSpecificTermsUsed,usesOwnGroupTerms,condition,nTermsFromA,nTermsFromB,nTermsFromC
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,0,01KJN79ZQD1E4YD03FE5CGJY8K,C,C,2,1,refer_separated,0,0,2
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,0,01KJN7B4V2673GK7HGVSG52R2P,B,B,1,1,refer_separated,0,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,1,01KJN77XQHYQ5TVVY4HZM02E7R,C,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,1,01KJN79ZRTRDMY6RH8ZCYCM9NV,A,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,1,01KJN7AAWT4GWKRZ7B9775509P,B,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,0,01KJN79PCAAMFX7P2QF70Y3HJM,A,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,0,01KJN79ZQD1E4YD03FE5CGJY8K,C,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,0,01KJN7B4V2673GK7HGVSG52R2P,B,B,1,1,refer_separated,0,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,1,01KJN77XQHYQ5TVVY4HZM02E7R,C,A,1,0,refer_separated,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,1,01KJN79ZRTRDMY6RH8ZCYCM9NV,A,A,1,1,refer_separated,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,1,01KJN7AAWT4GWKRZ7B9775509P,B,B,1,1,refer_separated,0,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,0,01KJN79PCAAMFX7P2QF70Y3HJM,A,A,1,1,refer_separated,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,0,01KJN79ZQD1E4YD03FE5CGJY8K,C,C,1,1,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,0,01KJN7B4V2673GK7HGVSG52R2P,B,B,1,1,refer_separated,0,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-255,0,01KJN79PCAAMFX7P2QF70Y3HJM,A,A,1,1,refer_separated,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-255,0,01KJN79ZQD1E4YD03FE5CGJY8K,C,C,1,1,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page7-255,0,01KJN7B4V2673GK7HGVSG52R2P,B,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,0,01KJN79PCAAMFX7P2QF70Y3HJM,A,C,1,0,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,0,01KJN79ZQD1E4YD03FE5CGJY8K,C,A,1,0,refer_separated,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,0,01KJN7B4V2673GK7HGVSG52R2P,B,B,1,1,refer_separated,0,1,0
