gameId,playerId,playerName,originalGroup,currentGroup,role,blockNum,phase,phaseNum,target,clicked,clickedCorrect,roundScore,roundId,lateClick,clickedAt,tangramSelectedAt,selectionRenderedAt,socialGuessSelectedAt,selectionRt,socialGuessRt,timeout,lateSocialGuess,trialNum,reshuffleMode,tangramSet,selectionStartedAt,selectionEndedAt,selectionDurationMs,repNum,speakerId,inGroupSpeaker,groupSize,speakerReassigned,hasSpeakerMessage,responseOpportunity,serverSpeakerId,serverInGroupListener,serverGroupSize,reshuffleGroups,reshuffleTrios,reshuffleTriosOk,reshufflePairs,excluded,exclusionReason
01KJN6MMPQTMDYRN709968YFN1,01KJN78M7563R5D9TQE5G142DA,Lika,C,C,listener,2.0,refgame,1.0,page7-107,page7-107,True,2.0,01KJN7K5JPV4BFRM0HRJFFT23R,False,,,,,,,False,False,16.0,,0.0,1772387467532,1772387509956,42424,,01KJN79ZDP3YNFFHHQA302PJDP,True,3,False,True,True,,,,,,,,False,
01KJN6MMPQTMDYRN709DP5DSDA,01KJN7BYA5X3A2G30KZECRY2HY,Bavi,B,B,speaker,5.0,refgame,1.0,page7-107,,,1.0,01KJN7KYZCYWANNP5JHHSNDKG7,False,,,,,,,False,False,30.0,,0.0,1772387883409,1772387895628,12219,2.0,01KJN7BYA5X3A2G30KZECRY2HY,,3,False,True,False,,,,,,,,False,
01KJN6MMPQTMDYRN709DP5DSDA,01KJN79ZQD1E4YD03FE5CGJY8K,Lika,C,C,listener,2.0,refgame,2.0,page9-46,page9-46,True,2.0,01KJN7KYX9412F6D9T4P6GZVTR,False,,,,,,,False,False,48.0,,0.0,1772388246013,1772388259312,13299,,01KJN7931DXZ65NXTWK1GNEZMW,True,3,False,True,True,,,,,,,,False,
01KJN6MMPQTMDYRN709DP5DSDA,01KJN7BYA5X3A2G30KZECRY2HY,Bavi,B,B,listener,3.0,refgame,2.0,page-B,page-B,True,2.0,01KJN7KZ53A9914CYGA6DKSVTE,False,,,,,,,False,False,54.0,,0.0,1772388333789,1772388353858,20069,,01KJN7B4V2673GK7HGVSG52R2P,True,3,False,True,True,,,,,,,,False,
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,Player,B,A,speaker,5.0,refgame,2.0,page3-35,,,1.0,01KJN7JJ4F71QKFN9HJKMN6A4E,False,,,,,,,False,False,66.0,,0.0,1772389189262,1772389209322,20060,2.0,01KJN7A44GGBE9XR412KV5BFSC,,3,False,True,False,,,,,,,,False,
01KJN6MMQ03KZPZN0275VZXK6R,01KJN792W85XPK9QGH8A6HSYSJ,Zuda,B,B,listener,0.0,refgame,1.0,page7-255,,False,0.0,01KJN7JHYXFYHN121QCJ6HRX9R,False,,,,,,,True,False,0.0,,0.0,1772386606704,1772386657466,50762,,01KJN7C40WEQBDF48ACG18M0EV,True,3,False,True,True,,,,,,,,False,
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,Bavi,B,B,speaker,2.0,refgame,1.0,page3-35,,,2.0,01KJN7K5JZQZB4NY8FJRJX504H,False,,,,,,,False,False,12.0,,0.0,1772387282349,1772387317911,35562,1.0,01KJN78CQJ3KY7VMGAR6F3D4S0,,3,False,True,False,,,,,,,,False,
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,Zuda,B,B,listener,3.0,refgame,1.0,page7-107,page7-107,True,2.0,01KJN7K5J4M8ZP49YPQF1AN3HY,False,,,,,,,False,False,19.0,,0.0,1772387620952,1772387665967,45015,,01KJN79Y7T0VZNKHTSJRZWTDZ5,True,3,False,True,True,,,,,,,,False,
01KJN6MMPQTMDYRN709DP5DSDA,01KJN7AAWT4GWKRZ7B9775509P,Zuda,B,B,listener,2.0,refgame,2.0,page7-255,page7-255,True,2.0,01KJN7KZ63WCMX3HHQH3QX4SWG,False,,,,,,,False,False,50.0,,0.0,1772388276008,1772388282836,6828,,01KJN7BYA5X3A2G30KZECRY2HY,True,3,False,True,True,,,,,,,,False,
01KJN6MMPQTMDYRN709DP5DSDA,01KJN79ZQD1E4YD03FE5CGJY8K,Lika,C,C,speaker,3.0,refgame,2.0,page5-28,,,2.0,01KJN7KZ3Q92SVP2Y70T8S3RW4,False,,,,,,,False,False,58.0,,0.0,1772388403986,1772388416078,12092,2.0,01KJN79ZQD1E4YD03FE5CGJY8K,,3,False,True,False,,,,,,,,False,
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AAX1VHZ1A7ZB35BNRH8N,Player,A,C,listener,0.0,refgame,2.0,page9-46,page9-46,True,2.0,01KJN7JJ1R0ZCD3D5GW7K272MC,False,,,,,,,False,False,40.0,,0.0,1772388475619,1772388495644,20025,,01KJN7C40WEQBDF48ACG18M0EV,False,3,False,True,True,,,,,,,,False,
01KJN6MMPQTMDYRN709968YFN1,01KJN79Y7T0VZNKHTSJRZWTDZ5,Player,B,B,listener,4.0,refgame,2.0,page7-255,page7-255,True,2.0,01KJN7K5KA3E984TAA3QPV7RDV,False,,,,,,,False,False,61.0,,0.0,1772388899495,1772388914994,15499,,01KJN791EPN054R2NTQQ1BFXJ5,False,3,False,True,True,,,,,,,,False,
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7863BFF3ZYZGVVSATZTH7,Player,C,C,speaker,4.0,refgame,2.0,page7-107,,,1.0,01KJN7JJ4J76TV80J433JG2B0V,False,,,,,,,False,False,64.0,,0.0,1772389135659,1772389154915,19256,2.0,01KJN7863BFF3ZYZGVVSATZTH7,,3,False,True,False,,,,,,,,False,
01KJN6MMPQTMDYRN709DP5DSDA,01KJN79PCAAMFX7P2QF70Y3HJM,Repi,A,A,listener,1.0,refgame,1.0,page-B,page-B,True,2.0,01KJN7KZ4KY8QNP8EKAKX2FFGX,False,,,,,,,False,False,8.0,,0.0,1772387071924,1772387116592,44668,,01KJN79ZRTRDMY6RH8ZCYCM9NV,True,3,False,True,True,,,,,,,,False,
