gameId,roundId,blockNum,phase,phaseNum,target,group,senderId,senderName,senderRole,text,timestamp,trialNum,tangramSet
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBKFK80J9EKRNSR927F,4.0,refgame,2.0,page5-28,C,01KJP2SGRYQPGESDGRKTMMAJX4,Player,speaker,or sideways muffler,1772418479007,62.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBKFK80J9EKRNSR927F,4.0,refgame,2.0,page5-28,A,01KJP2SDQCR0935BS4E06A6D2G,Player,speaker,muffler,1772418479397,62.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBKFK80J9EKRNSR927F,4.0,refgame,2.0,page5-28,A,01KJP2RBVR6E36EKC8HYRAV5GF,Player,listener,Minu if you're in here...,1772418481788,62.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBKFK80J9EKRNSR927F,4.0,refgame,2.0,page5-28,B,01KJP2RVD8SK7AN1X5EMGRM458,Player,speaker,cigarette rectangle,1772418484350,62.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBKFK80J9EKSVWKNESX,2.0,refgame,2.0,page7-107,C,01KJP2Q4FMMNPG4DTS771Y4V70,Player,speaker,Fireball with diamond out of middle,1772418146342,52.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBKFK80J9EKSVWKNESX,2.0,refgame,2.0,page7-107,B,01KJP2RBVR6E36EKC8HYRAV5GF,Player,speaker,Fireball shooting to the right,1772418146917,52.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBKFK80J9EKSVWKNESX,2.0,refgame,2.0,page7-107,B,01KJP2RBVR6E36EKC8HYRAV5GF,Player,speaker,Diamond in the middle,1772418149982,52.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBKFK80J9EKSVWKNESX,2.0,refgame,2.0,page7-107,B,01KJP2RBVR6E36EKC8HYRAV5GF,Player,speaker,Get it,1772418151028,52.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBKFK80J9EKSVWKNESX,2.0,refgame,2.0,page7-107,A,01KJP2Q9Z7MR3VPYE4MH3SC9C8,Player,speaker,Bird with diamond in middle / fireball - N,1772418152476,52.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBMKHYMYM5B8F70E256,2.0,refgame,2.0,page7-255,A,01KJP2RBVR6E36EKC8HYRAV5GF,Player,speaker,Rooster,1772418113193,51.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBMKHYMYM5B8F70E256,2.0,refgame,2.0,page7-255,A,01KJP2RBVR6E36EKC8HYRAV5GF,Player,speaker,Triangle for head,1772418115600,51.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBMKHYMYM5B8F70E256,2.0,refgame,2.0,page7-255,B,01KJP2Q9Z7MR3VPYE4MH3SC9C8,Player,speaker,Bunny Wabbit - N,1772418116859,51.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBMKHYMYM5B8F70E256,2.0,refgame,2.0,page7-255,C,01KJP2RH1QNE571FNJRJ0ZHM7W,Player,speaker,hooded person jumping,1772418119846,51.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBMKHYMYM5B8F70E256,2.0,refgame,2.0,page7-255,A,01KJP2RBVR6E36EKC8HYRAV5GF,Player,speaker,Get it,1772418120394,51.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBN46GH887MB8939EJF,2.0,refgame,2.0,page-B,A,01KJP2RBVR6E36EKC8HYRAV5GF,Player,speaker,Prayer,1772418043517,49.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBN46GH887MB8939EJF,2.0,refgame,2.0,page-B,B,01KJP2Q9Z7MR3VPYE4MH3SC9C8,Player,speaker,sQUARE AND Triangle falling - N,1772418052621,49.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBN46GH887MB8939EJF,2.0,refgame,2.0,page-B,C,01KJP2SNNP4ZB6K1QMGZX5CC0T,Player,speaker,jason here says vase with pieces falling of the top,1772418054975,49.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBN46GH887MBYTMMXFZ,2.0,refgame,2.0,page9-46,A,01KJP2RBVR6E36EKC8HYRAV5GF,Player,speaker,Topless pyramid,1772418004791,48.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBN46GH887MBYTMMXFZ,2.0,refgame,2.0,page9-46,C,01KJP2Q4FMMNPG4DTS771Y4V70,Player,speaker,Topless pyramid,1772418006656,48.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBN46GH887MBYTMMXFZ,2.0,refgame,2.0,page9-46,C,01KJP2Q4FMMNPG4DTS771Y4V70,Player,speaker,Rectangle taken out of side,1772418010672,48.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBN46GH887MBYTMMXFZ,2.0,refgame,2.0,page9-46,A,01KJP2RBVR6E36EKC8HYRAV5GF,Player,speaker,Rectangle missing from left,1772418011235,48.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBN46GH887MBYTMMXFZ,2.0,refgame,2.0,page9-46,C,01KJP2Q4FMMNPG4DTS771Y4V70,Player,speaker,Left side,1772418014084,48.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBN46GH887MBYTMMXFZ,2.0,refgame,2.0,page9-46,B,01KJP2Q9Z7MR3VPYE4MH3SC9C8,Player,speaker,Pyramid with rectangle cut out the middle - N,1772418014716,48.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBN46GH887MBYTMMXFZ,2.0,refgame,2.0,page9-46,C,01KJP2Q4FMMNPG4DTS771Y4V70,Player,speaker,Large triangle slope on right,1772418019661,48.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBN46GH887MCP71WBKK,2.0,refgame,2.0,page5-28,A,01KJP2RBVR6E36EKC8HYRAV5GF,Player,speaker,Whale pointing left,1772418078053,50.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBN46GH887MCP71WBKK,2.0,refgame,2.0,page5-28,C,01KJP2Q4FMMNPG4DTS771Y4V70,Player,speaker,Whale,1772418078640,50.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBN46GH887MCP71WBKK,2.0,refgame,2.0,page5-28,A,01KJP2RBVR6E36EKC8HYRAV5GF,Player,speaker,Parallelogram for tail,1772418082092,50.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBN46GH887MCP71WBKK,2.0,refgame,2.0,page5-28,B,01KJP2Q9Z7MR3VPYE4MH3SC9C8,Player,speaker,Sideways muffler - N,1772418082538,50.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBN46GH887MCP71WBKK,2.0,refgame,2.0,page5-28,A,01KJP2RBVR6E36EKC8HYRAV5GF,Player,speaker,"One person said cig, another said muffler",1772418088891,50.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBPAK2HC2TNBMD5J772,1.0,refgame,2.0,page9-46,A,01KJP2SGRYQPGESDGRKTMMAJX4,Player,speaker,paper clip remover,1772417939216,46.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBPAK2HC2TNBMD5J772,1.0,refgame,2.0,page9-46,B,01KJP2RVD8SK7AN1X5EMGRM458,Player,speaker,big mouth left topless pyramid,1772417946269,46.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBPAK2HC2TNBMD5J772,1.0,refgame,2.0,page9-46,C,01KJP2SDQCR0935BS4E06A6D2G,Player,speaker,pyramid with a rectangle cut out,1772417946463,46.0,0.0
